"Occupation title","Percent change, 2023–33"
"Healthcare support ","15.2"
"Computer and mathematical ","12.9"
"Healthcare practitioners and technical ","8.6"
"Community and social service ","8.1"
"Life, physical, and social science ","7.5"
"Management ","7.3"
"Business and financial operations ","6.9"
"Architecture and engineering ","6.8"
"Personal care and service ","6.4"
"Construction and extraction ","5.6"
"Installation, maintenance, and repair ","5.3"
"Transportation and material moving ","4.8"
"Food preparation and serving related ","4.3"
"Arts, design, entertainment, sports, and media ","4.2"
"Total, all occupations","4.0"
"Legal ","3.7"
"Building and grounds cleaning and maintenance ","3.1"
"Protective service ","2.0"
"Educational instruction and library ","1.6"
"Production ","-1.0"
"Farming, fishing, and forestry ","-1.9"
"Sales and related ","-2.0"
"Office and administrative support ","-3.5"
"Source: U.S. Bureau of Labor Statistics."
